消费地点,日期,每日总消费次数
第一图书馆,2019-04-06,0
第一图书馆,2019-04-07,0
第一图书馆,2019-04-08,29
第一图书馆,2019-04-09,36
第一图书馆,2019-04-10,8
第一图书馆,2019-04-11,6
第一图书馆,2019-04-12,18
第一图书馆,2019-04-13,0
第一图书馆,2019-04-14,0
第一图书馆,2019-04-15,10
第一图书馆,2019-04-16,26
第一图书馆,2019-04-17,9
第一图书馆,2019-04-18,8
第一图书馆,2019-04-19,13
第一图书馆,2019-04-20,0
第一图书馆,2019-04-21,0
第一图书馆,2019-04-22,17
第一图书馆,2019-04-23,18
第一图书馆,2019-04-24,5
第一图书馆,2019-04-25,8
第一图书馆,2019-04-26,11
第一图书馆,2019-04-27,0
第一图书馆,2019-04-28,0
第一图书馆,2019-04-29,0
第一图书馆,2019-04-30,0
第一食堂,2019-04-01,2405
第一食堂,2019-04-02,2195
第一食堂,2019-04-03,2568
第一食堂,2019-04-04,2728
第一食堂,2019-04-05,4827
第一食堂,2019-04-06,3881
第一食堂,2019-04-07,2791
第一食堂,2019-04-08,2578
第一食堂,2019-04-09,2792
第一食堂,2019-04-10,2951
第一食堂,2019-04-11,2308
第一食堂,2019-04-12,1596
第一食堂,2019-04-13,889
第一食堂,2019-04-14,877
第一食堂,2019-04-15,2357
第一食堂,2019-04-16,2675
第一食堂,2019-04-17,2429
第一食堂,2019-04-18,2059
第一食堂,2019-04-19,1703
第一食堂,2019-04-20,722
第一食堂,2019-04-21,850
第一食堂,2019-04-22,2075
第一食堂,2019-04-23,2525
第一食堂,2019-04-24,2179
第一食堂,2019-04-25,1978
第一食堂,2019-04-26,1302
第一食堂,2019-04-27,0
第一食堂,2019-04-28,0
第一食堂,2019-04-29,1275
第一食堂,2019-04-30,1428
第七教学楼,2019-04-01,0
第七教学楼,2019-04-02,0
第七教学楼,2019-04-03,0
第七教学楼,2019-04-04,0
第七教学楼,2019-04-05,0
第七教学楼,2019-04-06,0
第七教学楼,2019-04-07,0
第七教学楼,2019-04-08,0
第七教学楼,2019-04-09,0
第七教学楼,2019-04-10,0
第七教学楼,2019-04-11,0
第七教学楼,2019-04-12,0
第七教学楼,2019-04-13,0
第七教学楼,2019-04-14,1
第七教学楼,2019-04-15,0
第七教学楼,2019-04-16,0
第七教学楼,2019-04-17,0
第七教学楼,2019-04-18,0
第七教学楼,2019-04-19,0
第七教学楼,2019-04-20,1
第七教学楼,2019-04-21,0
第七教学楼,2019-04-22,1
第七教学楼,2019-04-23,0
第七教学楼,2019-04-24,1
第七教学楼,2019-04-25,2
第七教学楼,2019-04-26,0
第七教学楼,2019-04-27,0
第七教学楼,2019-04-28,0
第七教学楼,2019-04-29,0
第七教学楼,2019-04-30,2
第三食堂,2019-04-01,1886
第三食堂,2019-04-02,1949
第三食堂,2019-04-03,1989
第三食堂,2019-04-04,1988
第三食堂,2019-04-05,1356
第三食堂,2019-04-06,1325
第三食堂,2019-04-07,1348
第三食堂,2019-04-08,2217
第三食堂,2019-04-09,2256
第三食堂,2019-04-10,2245
第三食堂,2019-04-11,2120
第三食堂,2019-04-12,2053
第三食堂,2019-04-13,1036
第三食堂,2019-04-14,1072
第三食堂,2019-04-15,2175
第三食堂,2019-04-16,2203
第三食堂,2019-04-17,2312
第三食堂,2019-04-18,2068
第三食堂,2019-04-19,1890
第三食堂,2019-04-20,1392
第三食堂,2019-04-21,1257
第三食堂,2019-04-22,2275
第三食堂,2019-04-23,2279
第三食堂,2019-04-24,2137
第三食堂,2019-04-25,2177
第三食堂,2019-04-26,1592
第三食堂,2019-04-27,0
第三食堂,2019-04-28,0
第三食堂,2019-04-29,1363
第三食堂,2019-04-30,1368
第二图书馆,2019-04-01,10
第二图书馆,2019-04-02,40
第二图书馆,2019-04-03,11
第二图书馆,2019-04-04,27
第二图书馆,2019-04-05,0
第二图书馆,2019-04-06,0
第二图书馆,2019-04-07,0
第二图书馆,2019-04-08,24
第二图书馆,2019-04-09,22
第二图书馆,2019-04-10,22
第二图书馆,2019-04-11,13
第二图书馆,2019-04-12,26
第二图书馆,2019-04-13,0
第二图书馆,2019-04-14,0
第二图书馆,2019-04-15,24
第二图书馆,2019-04-16,11
第二图书馆,2019-04-17,12
第二图书馆,2019-04-18,8
第二图书馆,2019-04-19,12
第二图书馆,2019-04-20,0
第二图书馆,2019-04-21,0
第二图书馆,2019-04-22,34
第二图书馆,2019-04-23,22
第二图书馆,2019-04-24,15
第二图书馆,2019-04-25,17
第二图书馆,2019-04-26,19
第二图书馆,2019-04-27,0
第二图书馆,2019-04-28,0
第二图书馆,2019-04-29,0
第二图书馆,2019-04-30,0
第二食堂,2019-04-01,5295
第二食堂,2019-04-02,5690
第二食堂,2019-04-03,6175
第二食堂,2019-04-04,6209
第二食堂,2019-04-05,0
第二食堂,2019-04-06,0
第二食堂,2019-04-07,951
第二食堂,2019-04-08,6548
第二食堂,2019-04-09,6671
第二食堂,2019-04-10,6892
第二食堂,2019-04-11,6362
第二食堂,2019-04-12,6241
第二食堂,2019-04-13,3504
第二食堂,2019-04-14,3314
第二食堂,2019-04-15,6450
第二食堂,2019-04-16,5888
第二食堂,2019-04-17,6770
第二食堂,2019-04-18,6019
第二食堂,2019-04-19,5711
第二食堂,2019-04-20,3429
第二食堂,2019-04-21,3124
第二食堂,2019-04-22,6487
第二食堂,2019-04-23,6437
第二食堂,2019-04-24,6353
第二食堂,2019-04-25,5941
第二食堂,2019-04-26,5451
第二食堂,2019-04-27,4223
第二食堂,2019-04-28,0
第二食堂,2019-04-29,3633
第二食堂,2019-04-30,4054
第五教学楼,2019-04-01,0
第五教学楼,2019-04-02,0
第五教学楼,2019-04-03,0
第五教学楼,2019-04-04,0
第五教学楼,2019-04-05,0
第五教学楼,2019-04-06,0
第五教学楼,2019-04-07,0
第五教学楼,2019-04-08,0
第五教学楼,2019-04-09,0
第五教学楼,2019-04-10,0
第五教学楼,2019-04-11,0
第五教学楼,2019-04-12,0
第五教学楼,2019-04-13,0
第五教学楼,2019-04-14,0
第五教学楼,2019-04-15,0
第五教学楼,2019-04-16,0
第五教学楼,2019-04-17,0
第五教学楼,2019-04-18,0
第五教学楼,2019-04-19,0
第五教学楼,2019-04-20,0
第五教学楼,2019-04-21,0
第五教学楼,2019-04-22,0
第五教学楼,2019-04-23,1
第五教学楼,2019-04-24,0
第五教学楼,2019-04-25,1
第五教学楼,2019-04-26,0
第五教学楼,2019-04-27,0
第五教学楼,2019-04-28,0
第五教学楼,2019-04-29,0
第五教学楼,2019-04-30,0
第五食堂,2019-04-01,4205
第五食堂,2019-04-02,4870
第五食堂,2019-04-03,5008
第五食堂,2019-04-04,5135
第五食堂,2019-04-05,0
第五食堂,2019-04-06,0
第五食堂,2019-04-07,619
第五食堂,2019-04-08,5544
第五食堂,2019-04-09,5618
第五食堂,2019-04-10,5478
第五食堂,2019-04-11,4821
第五食堂,2019-04-12,5385
第五食堂,2019-04-13,2677
第五食堂,2019-04-14,2710
第五食堂,2019-04-15,5467
第五食堂,2019-04-16,5250
第五食堂,2019-04-17,4917
第五食堂,2019-04-18,4691
第五食堂,2019-04-19,4720
第五食堂,2019-04-20,2790
第五食堂,2019-04-21,2529
第五食堂,2019-04-22,5180
第五食堂,2019-04-23,5229
第五食堂,2019-04-24,5229
第五食堂,2019-04-25,4784
第五食堂,2019-04-26,3896
第五食堂,2019-04-27,2187
第五食堂,2019-04-28,0
第五食堂,2019-04-29,2881
第五食堂,2019-04-30,3079
第六教学楼,2019-04-01,0
第六教学楼,2019-04-02,0
第六教学楼,2019-04-03,0
第六教学楼,2019-04-04,1
第六教学楼,2019-04-05,0
第六教学楼,2019-04-06,0
第六教学楼,2019-04-07,0
第六教学楼,2019-04-08,0
第六教学楼,2019-04-09,0
第六教学楼,2019-04-10,0
第六教学楼,2019-04-11,0
第六教学楼,2019-04-12,0
第六教学楼,2019-04-13,0
第六教学楼,2019-04-14,0
第六教学楼,2019-04-15,0
第六教学楼,2019-04-16,0
第六教学楼,2019-04-17,0
第六教学楼,2019-04-18,0
第六教学楼,2019-04-19,0
第六教学楼,2019-04-20,0
第六教学楼,2019-04-21,0
第六教学楼,2019-04-22,1
第六教学楼,2019-04-23,0
第六教学楼,2019-04-24,0
第六教学楼,2019-04-25,0
第六教学楼,2019-04-26,0
第六教学楼,2019-04-27,0
第六教学楼,2019-04-28,0
第六教学楼,2019-04-29,0
第六教学楼,2019-04-30,0
第四教学楼,2019-04-01,0
第四教学楼,2019-04-02,0
第四教学楼,2019-04-03,0
第四教学楼,2019-04-04,0
第四教学楼,2019-04-05,0
第四教学楼,2019-04-06,0
第四教学楼,2019-04-07,0
第四教学楼,2019-04-08,0
第四教学楼,2019-04-09,1
第四教学楼,2019-04-10,0
第四教学楼,2019-04-11,0
第四教学楼,2019-04-12,0
第四教学楼,2019-04-13,0
第四教学楼,2019-04-14,0
第四教学楼,2019-04-15,0
第四教学楼,2019-04-16,0
第四教学楼,2019-04-17,0
第四教学楼,2019-04-18,0
第四教学楼,2019-04-19,0
第四教学楼,2019-04-20,0
第四教学楼,2019-04-21,0
第四教学楼,2019-04-22,0
第四教学楼,2019-04-23,0
第四教学楼,2019-04-24,0
第四教学楼,2019-04-25,0
第四教学楼,2019-04-26,0
第四教学楼,2019-04-27,0
第四教学楼,2019-04-28,0
第四教学楼,2019-04-29,0
第四教学楼,2019-04-30,0
第四食堂,2019-04-01,2280
第四食堂,2019-04-02,2747
第四食堂,2019-04-03,2578
第四食堂,2019-04-04,2873
第四食堂,2019-04-05,0
第四食堂,2019-04-06,0
第四食堂,2019-04-07,556
第四食堂,2019-04-08,2887
第四食堂,2019-04-09,2704
第四食堂,2019-04-10,2932
第四食堂,2019-04-11,2827
第四食堂,2019-04-12,2454
第四食堂,2019-04-13,1539
第四食堂,2019-04-14,1695
第四食堂,2019-04-15,2806
第四食堂,2019-04-16,2932
第四食堂,2019-04-17,2664
第四食堂,2019-04-18,2715
第四食堂,2019-04-19,2227
第四食堂,2019-04-20,1526
第四食堂,2019-04-21,1560
第四食堂,2019-04-22,2474
第四食堂,2019-04-23,2599
第四食堂,2019-04-24,2361
第四食堂,2019-04-25,2387
第四食堂,2019-04-26,1988
第四食堂,2019-04-27,0
第四食堂,2019-04-28,0
第四食堂,2019-04-29,1728
第四食堂,2019-04-30,1889
红太阳超市,2019-04-01,465
红太阳超市,2019-04-02,399
红太阳超市,2019-04-03,419
红太阳超市,2019-04-04,416
红太阳超市,2019-04-05,460
红太阳超市,2019-04-06,314
红太阳超市,2019-04-07,317
红太阳超市,2019-04-08,552
红太阳超市,2019-04-09,454
红太阳超市,2019-04-10,465
红太阳超市,2019-04-11,462
红太阳超市,2019-04-12,477
红太阳超市,2019-04-13,324
红太阳超市,2019-04-14,366
红太阳超市,2019-04-15,548
红太阳超市,2019-04-16,609
红太阳超市,2019-04-17,524
红太阳超市,2019-04-18,474
红太阳超市,2019-04-19,509
红太阳超市,2019-04-20,329
红太阳超市,2019-04-21,308
红太阳超市,2019-04-22,478
红太阳超市,2019-04-23,390
红太阳超市,2019-04-24,438
红太阳超市,2019-04-25,469
红太阳超市,2019-04-26,412
红太阳超市,2019-04-27,291
红太阳超市,2019-04-28,0
红太阳超市,2019-04-29,313
红太阳超市,2019-04-30,407
自然科学书库,2019-04-01,14
自然科学书库,2019-04-02,13
自然科学书库,2019-04-03,13
自然科学书库,2019-04-04,11
自然科学书库,2019-04-05,0
自然科学书库,2019-04-06,0
自然科学书库,2019-04-07,0
自然科学书库,2019-04-08,18
自然科学书库,2019-04-09,10
自然科学书库,2019-04-10,17
自然科学书库,2019-04-11,6
自然科学书库,2019-04-12,7
自然科学书库,2019-04-13,0
自然科学书库,2019-04-14,0
自然科学书库,2019-04-15,13
自然科学书库,2019-04-16,8
自然科学书库,2019-04-17,5
自然科学书库,2019-04-18,3
自然科学书库,2019-04-19,18
自然科学书库,2019-04-20,0
自然科学书库,2019-04-21,0
自然科学书库,2019-04-22,8
自然科学书库,2019-04-23,3
自然科学书库,2019-04-24,3
自然科学书库,2019-04-25,8
自然科学书库,2019-04-26,14
自然科学书库,2019-04-27,0
自然科学书库,2019-04-28,0
自然科学书库,2019-04-29,0
自然科学书库,2019-04-30,0
青鸾苑宿管办,2019-04-01,0
青鸾苑宿管办,2019-04-02,0
青鸾苑宿管办,2019-04-03,0
青鸾苑宿管办,2019-04-04,0
青鸾苑宿管办,2019-04-05,0
青鸾苑宿管办,2019-04-06,0
青鸾苑宿管办,2019-04-07,1
青鸾苑宿管办,2019-04-08,0
青鸾苑宿管办,2019-04-09,0
青鸾苑宿管办,2019-04-10,0
青鸾苑宿管办,2019-04-11,0
青鸾苑宿管办,2019-04-12,0
青鸾苑宿管办,2019-04-13,0
青鸾苑宿管办,2019-04-14,1
青鸾苑宿管办,2019-04-15,0
青鸾苑宿管办,2019-04-16,0
青鸾苑宿管办,2019-04-17,0
青鸾苑宿管办,2019-04-18,1
青鸾苑宿管办,2019-04-19,0
青鸾苑宿管办,2019-04-20,0
青鸾苑宿管办,2019-04-21,0
青鸾苑宿管办,2019-04-22,0
青鸾苑宿管办,2019-04-23,0
青鸾苑宿管办,2019-04-24,0
青鸾苑宿管办,2019-04-25,0
青鸾苑宿管办,2019-04-26,0
青鸾苑宿管办,2019-04-27,0
青鸾苑宿管办,2019-04-28,0
青鸾苑宿管办,2019-04-29,0
青鸾苑宿管办,2019-04-30,1
飞凤轩宿管办,2019-04-01,0
飞凤轩宿管办,2019-04-02,0
飞凤轩宿管办,2019-04-03,0
飞凤轩宿管办,2019-04-04,0
飞凤轩宿管办,2019-04-05,0
飞凤轩宿管办,2019-04-06,0
飞凤轩宿管办,2019-04-07,0
飞凤轩宿管办,2019-04-08,0
飞凤轩宿管办,2019-04-09,0
飞凤轩宿管办,2019-04-10,0
飞凤轩宿管办,2019-04-11,0
飞凤轩宿管办,2019-04-12,0
飞凤轩宿管办,2019-04-13,0
飞凤轩宿管办,2019-04-14,1
飞凤轩宿管办,2019-04-15,0
飞凤轩宿管办,2019-04-16,0
飞凤轩宿管办,2019-04-17,0
飞凤轩宿管办,2019-04-18,0
飞凤轩宿管办,2019-04-19,1
飞凤轩宿管办,2019-04-20,0
飞凤轩宿管办,2019-04-21,1
飞凤轩宿管办,2019-04-22,1
飞凤轩宿管办,2019-04-23,0
飞凤轩宿管办,2019-04-24,0
飞凤轩宿管办,2019-04-25,0
飞凤轩宿管办,2019-04-26,0
飞凤轩宿管办,2019-04-27,0
飞凤轩宿管办,2019-04-28,0
飞凤轩宿管办,2019-04-29,0
飞凤轩宿管办,2019-04-30,0
