消费地点,日期,每日总消费金额
第二图书馆,2019-04-01,15.6
第二图书馆,2019-04-02,45.8
第二图书馆,2019-04-03,9.4
第二图书馆,2019-04-04,67.2
第二图书馆,2019-04-05,0.0
第二图书馆,2019-04-06,0.0
第二图书馆,2019-04-07,0.0
第二图书馆,2019-04-08,40.8
第二图书馆,2019-04-09,33.3
第二图书馆,2019-04-10,40.8
第二图书馆,2019-04-11,12.7
第二图书馆,2019-04-12,37.6
第二图书馆,2019-04-13,0.0
第二图书馆,2019-04-14,0.0
第二图书馆,2019-04-15,48.0
第二图书馆,2019-04-16,30.2
第二图书馆,2019-04-17,18.9
第二图书馆,2019-04-18,10.3
第二图书馆,2019-04-19,22.7
第二图书馆,2019-04-20,0.0
第二图书馆,2019-04-21,0.0
第二图书馆,2019-04-22,66.4
第二图书馆,2019-04-23,41.2
第二图书馆,2019-04-24,33.1
第二图书馆,2019-04-25,24.5
第二图书馆,2019-04-26,43.7
第二图书馆,2019-04-27,0.0
第二图书馆,2019-04-28,0.0
第二图书馆,2019-04-29,0.0
第二图书馆,2019-04-30,0.0
第二食堂,2019-04-01,13451.74
第二食堂,2019-04-02,14653.08
第二食堂,2019-04-03,15407.58
第二食堂,2019-04-04,15630.59
第二食堂,2019-04-05,0.0
第二食堂,2019-04-06,0.0
第二食堂,2019-04-07,2828.39
第二食堂,2019-04-08,16923.48
第二食堂,2019-04-09,17301.75
第二食堂,2019-04-10,17679.89
第二食堂,2019-04-11,16449.2
第二食堂,2019-04-12,16415.82
第二食堂,2019-04-13,9317.0
第二食堂,2019-04-14,8769.25
第二食堂,2019-04-15,16573.96
第二食堂,2019-04-16,14489.68
第二食堂,2019-04-17,18224.79
第二食堂,2019-04-18,14458.0
第二食堂,2019-04-19,14985.19
第二食堂,2019-04-20,9110.6
第二食堂,2019-04-21,8449.29
第二食堂,2019-04-22,16341.94
第二食堂,2019-04-23,16536.25
第二食堂,2019-04-24,16290.69
第二食堂,2019-04-25,15154.79
第二食堂,2019-04-26,14057.07
第二食堂,2019-04-27,13468.24
第二食堂,2019-04-28,0.0
第二食堂,2019-04-29,9648.4
第二食堂,2019-04-30,10485.62
第五教学楼,2019-04-01,0.0
第五教学楼,2019-04-02,0.0
第五教学楼,2019-04-03,0.0
第五教学楼,2019-04-04,0.0
第五教学楼,2019-04-05,0.0
第五教学楼,2019-04-06,0.0
第五教学楼,2019-04-07,0.0
第五教学楼,2019-04-08,0.0
第五教学楼,2019-04-09,0.0
第五教学楼,2019-04-10,0.0
第五教学楼,2019-04-11,0.0
第五教学楼,2019-04-12,0.0
第五教学楼,2019-04-13,0.0
第五教学楼,2019-04-14,0.0
第五教学楼,2019-04-15,0.0
第五教学楼,2019-04-16,0.0
第五教学楼,2019-04-17,0.0
第五教学楼,2019-04-18,0.0
第五教学楼,2019-04-19,0.0
第五教学楼,2019-04-20,0.0
第五教学楼,2019-04-21,0.0
第五教学楼,2019-04-22,0.0
第五教学楼,2019-04-23,10.0
第五教学楼,2019-04-24,0.0
第五教学楼,2019-04-25,5.0
第五教学楼,2019-04-26,0.0
第五教学楼,2019-04-27,0.0
第五教学楼,2019-04-28,0.0
第五教学楼,2019-04-29,0.0
第五教学楼,2019-04-30,0.0
第五食堂,2019-04-01,14259.5
第五食堂,2019-04-02,14561.6
第五食堂,2019-04-03,15371.7
第五食堂,2019-04-04,15548.15
第五食堂,2019-04-05,0.0
第五食堂,2019-04-06,0.0
第五食堂,2019-04-07,2293.5
第五食堂,2019-04-08,16856.89
第五食堂,2019-04-09,16856.46
第五食堂,2019-04-10,16404.15
第五食堂,2019-04-11,14697.36
第五食堂,2019-04-12,14947.4
第五食堂,2019-04-13,8001.16
第五食堂,2019-04-14,8711.4
第五食堂,2019-04-15,16328.46
第五食堂,2019-04-16,15922.46
第五食堂,2019-04-17,14633.7
第五食堂,2019-04-18,14140.9
第五食堂,2019-04-19,14050.4
第五食堂,2019-04-20,8784.1
第五食堂,2019-04-21,8038.3
第五食堂,2019-04-22,15274.92
第五食堂,2019-04-23,14463.1
第五食堂,2019-04-24,14414.8
第五食堂,2019-04-25,13569.93
第五食堂,2019-04-26,10875.29
第五食堂,2019-04-27,4553.3
第五食堂,2019-04-28,0.0
第五食堂,2019-04-29,9199.4
第五食堂,2019-04-30,9879.5
第六教学楼,2019-04-01,0.0
第六教学楼,2019-04-02,0.0
第六教学楼,2019-04-03,0.0
第六教学楼,2019-04-04,20.0
第六教学楼,2019-04-05,0.0
第六教学楼,2019-04-06,0.0
第六教学楼,2019-04-07,0.0
第六教学楼,2019-04-08,0.0
第六教学楼,2019-04-09,0.0
第六教学楼,2019-04-10,0.0
第六教学楼,2019-04-11,0.0
第六教学楼,2019-04-12,0.0
第六教学楼,2019-04-13,0.0
第六教学楼,2019-04-14,0.0
第六教学楼,2019-04-15,0.0
第六教学楼,2019-04-16,0.0
第六教学楼,2019-04-17,0.0
第六教学楼,2019-04-18,0.0
第六教学楼,2019-04-19,0.0
第六教学楼,2019-04-20,0.0
第六教学楼,2019-04-21,0.0
第六教学楼,2019-04-22,20.0
第六教学楼,2019-04-23,0.0
第六教学楼,2019-04-24,0.0
第六教学楼,2019-04-25,0.0
第六教学楼,2019-04-26,0.0
第六教学楼,2019-04-27,0.0
第六教学楼,2019-04-28,0.0
第六教学楼,2019-04-29,0.0
第六教学楼,2019-04-30,0.0
第四教学楼,2019-04-01,0.0
第四教学楼,2019-04-02,0.0
第四教学楼,2019-04-03,0.0
第四教学楼,2019-04-04,0.0
第四教学楼,2019-04-05,0.0
第四教学楼,2019-04-06,0.0
第四教学楼,2019-04-07,0.0
第四教学楼,2019-04-08,0.0
第四教学楼,2019-04-09,10.0
第四教学楼,2019-04-10,0.0
第四教学楼,2019-04-11,0.0
第四教学楼,2019-04-12,0.0
第四教学楼,2019-04-13,0.0
第四教学楼,2019-04-14,0.0
第四教学楼,2019-04-15,0.0
第四教学楼,2019-04-16,0.0
第四教学楼,2019-04-17,0.0
第四教学楼,2019-04-18,0.0
第四教学楼,2019-04-19,0.0
第四教学楼,2019-04-20,0.0
第四教学楼,2019-04-21,0.0
第四教学楼,2019-04-22,0.0
第四教学楼,2019-04-23,0.0
第四教学楼,2019-04-24,0.0
第四教学楼,2019-04-25,0.0
第四教学楼,2019-04-26,0.0
第四教学楼,2019-04-27,0.0
第四教学楼,2019-04-28,0.0
第四教学楼,2019-04-29,0.0
第四教学楼,2019-04-30,0.0
第四食堂,2019-04-01,17254.0
第四食堂,2019-04-02,20756.0
第四食堂,2019-04-03,19617.0
第四食堂,2019-04-04,21994.2
第四食堂,2019-04-05,0.0
第四食堂,2019-04-06,0.0
第四食堂,2019-04-07,4161.0
第四食堂,2019-04-08,21487.0
第四食堂,2019-04-09,20741.5
第四食堂,2019-04-10,22577.0
第四食堂,2019-04-11,21623.5
第四食堂,2019-04-12,18414.0
第四食堂,2019-04-13,11606.5
第四食堂,2019-04-14,12701.0
第四食堂,2019-04-15,20799.0
第四食堂,2019-04-16,21812.9
第四食堂,2019-04-17,20112.5
第四食堂,2019-04-18,20468.0
第四食堂,2019-04-19,16905.0
第四食堂,2019-04-20,11639.5
第四食堂,2019-04-21,11926.6
第四食堂,2019-04-22,18808.0
第四食堂,2019-04-23,19913.0
第四食堂,2019-04-24,18119.9
第四食堂,2019-04-25,17997.5
第四食堂,2019-04-26,14908.5
第四食堂,2019-04-27,0.0
第四食堂,2019-04-28,0.0
第四食堂,2019-04-29,13041.5
第四食堂,2019-04-30,14146.4
红太阳超市,2019-04-01,2256.1
红太阳超市,2019-04-02,1809.8
红太阳超市,2019-04-03,1821.0
红太阳超市,2019-04-04,1880.2
红太阳超市,2019-04-05,2392.4
红太阳超市,2019-04-06,1658.45
红太阳超市,2019-04-07,1643.8
红太阳超市,2019-04-08,2523.16
红太阳超市,2019-04-09,2006.66
红太阳超市,2019-04-10,2182.79
红太阳超市,2019-04-11,2076.29
红太阳超市,2019-04-12,2268.3
红太阳超市,2019-04-13,1617.5
红太阳超市,2019-04-14,1669.5
红太阳超市,2019-04-15,2430.5
红太阳超市,2019-04-16,2619.4
红太阳超市,2019-04-17,2242.92
红太阳超市,2019-04-18,2054.78
红太阳超市,2019-04-19,2181.85
红太阳超市,2019-04-20,1650.1
红太阳超市,2019-04-21,1428.4
红太阳超市,2019-04-22,2014.9
红太阳超市,2019-04-23,1648.0
红太阳超市,2019-04-24,1989.3
红太阳超市,2019-04-25,2002.9
红太阳超市,2019-04-26,1855.1
红太阳超市,2019-04-27,1538.4
红太阳超市,2019-04-28,0.0
红太阳超市,2019-04-29,1522.61
红太阳超市,2019-04-30,1772.96
自然科学书库,2019-04-01,7.1
自然科学书库,2019-04-02,5.7
自然科学书库,2019-04-03,26.6
自然科学书库,2019-04-04,10.0
自然科学书库,2019-04-05,0.0
自然科学书库,2019-04-06,0.0
自然科学书库,2019-04-07,0.0
自然科学书库,2019-04-08,22.2
自然科学书库,2019-04-09,2.9
自然科学书库,2019-04-10,28.95
自然科学书库,2019-04-11,5.5
自然科学书库,2019-04-12,4.3
自然科学书库,2019-04-13,0.0
自然科学书库,2019-04-14,0.0
自然科学书库,2019-04-15,31.0
自然科学书库,2019-04-16,7.5
自然科学书库,2019-04-17,5.8
自然科学书库,2019-04-18,2.7
自然科学书库,2019-04-19,25.5
自然科学书库,2019-04-20,0.0
自然科学书库,2019-04-21,0.0
自然科学书库,2019-04-22,15.8
自然科学书库,2019-04-23,3.2
自然科学书库,2019-04-24,20.4
自然科学书库,2019-04-25,7.1
自然科学书库,2019-04-26,20.8
自然科学书库,2019-04-27,0.0
自然科学书库,2019-04-28,0.0
自然科学书库,2019-04-29,0.0
自然科学书库,2019-04-30,0.0
青鸾苑宿管办,2019-04-01,0.0
青鸾苑宿管办,2019-04-02,0.0
青鸾苑宿管办,2019-04-03,0.0
青鸾苑宿管办,2019-04-04,0.0
青鸾苑宿管办,2019-04-05,0.0
青鸾苑宿管办,2019-04-06,0.0
青鸾苑宿管办,2019-04-07,10.0
青鸾苑宿管办,2019-04-08,0.0
青鸾苑宿管办,2019-04-09,0.0
青鸾苑宿管办,2019-04-10,0.0
青鸾苑宿管办,2019-04-11,0.0
青鸾苑宿管办,2019-04-12,0.0
青鸾苑宿管办,2019-04-13,0.0
青鸾苑宿管办,2019-04-14,20.0
青鸾苑宿管办,2019-04-15,0.0
青鸾苑宿管办,2019-04-16,0.0
青鸾苑宿管办,2019-04-17,0.0
青鸾苑宿管办,2019-04-18,20.0
青鸾苑宿管办,2019-04-19,0.0
青鸾苑宿管办,2019-04-20,0.0
青鸾苑宿管办,2019-04-21,0.0
青鸾苑宿管办,2019-04-22,0.0
青鸾苑宿管办,2019-04-23,0.0
青鸾苑宿管办,2019-04-24,0.0
青鸾苑宿管办,2019-04-25,0.0
青鸾苑宿管办,2019-04-26,0.0
青鸾苑宿管办,2019-04-27,0.0
青鸾苑宿管办,2019-04-28,0.0
青鸾苑宿管办,2019-04-29,0.0
青鸾苑宿管办,2019-04-30,20.0
飞凤轩宿管办,2019-04-01,0.0
飞凤轩宿管办,2019-04-02,0.0
飞凤轩宿管办,2019-04-03,0.0
飞凤轩宿管办,2019-04-04,0.0
飞凤轩宿管办,2019-04-05,0.0
飞凤轩宿管办,2019-04-06,0.0
飞凤轩宿管办,2019-04-07,0.0
飞凤轩宿管办,2019-04-08,0.0
飞凤轩宿管办,2019-04-09,0.0
飞凤轩宿管办,2019-04-10,0.0
飞凤轩宿管办,2019-04-11,0.0
飞凤轩宿管办,2019-04-12,0.0
飞凤轩宿管办,2019-04-13,0.0
飞凤轩宿管办,2019-04-14,10.0
飞凤轩宿管办,2019-04-15,0.0
飞凤轩宿管办,2019-04-16,0.0
飞凤轩宿管办,2019-04-17,0.0
飞凤轩宿管办,2019-04-18,0.0
飞凤轩宿管办,2019-04-19,20.0
飞凤轩宿管办,2019-04-20,0.0
飞凤轩宿管办,2019-04-21,10.0
飞凤轩宿管办,2019-04-22,10.0
飞凤轩宿管办,2019-04-23,0.0
飞凤轩宿管办,2019-04-24,0.0
飞凤轩宿管办,2019-04-25,0.0
飞凤轩宿管办,2019-04-26,0.0
飞凤轩宿管办,2019-04-27,0.0
飞凤轩宿管办,2019-04-28,0.0
飞凤轩宿管办,2019-04-29,0.0
飞凤轩宿管办,2019-04-30,0.0
