消费地点,日期,时间段,消费次数
第二食堂,2019-04-05,08:00-09:00,0
第二食堂,2019-04-05,09:00-10:00,0
第二食堂,2019-04-05,10:00-11:00,0
第二食堂,2019-04-05,11:00-12:00,0
第二食堂,2019-04-05,12:00-13:00,0
第二食堂,2019-04-05,13:00-14:00,0
第二食堂,2019-04-05,14:00-15:00,0
第二食堂,2019-04-05,15:00-16:00,0
第二食堂,2019-04-05,16:00-17:00,0
第二食堂,2019-04-05,17:00-18:00,0
第二食堂,2019-04-05,18:00-19:00,0
第二食堂,2019-04-05,19:00-20:00,0
第二食堂,2019-04-05,20:00-21:00,0
第二食堂,2019-04-05,21:00-22:00,0
第二食堂,2019-04-05,22:00-23:00,0
第二食堂,2019-04-06,07:00-08:00,0
第二食堂,2019-04-06,08:00-09:00,0
第二食堂,2019-04-06,09:00-10:00,0
第二食堂,2019-04-06,10:00-11:00,0
第二食堂,2019-04-06,11:00-12:00,0
第二食堂,2019-04-06,12:00-13:00,0
第二食堂,2019-04-06,13:00-14:00,0
第二食堂,2019-04-06,14:00-15:00,0
第二食堂,2019-04-06,15:00-16:00,0
第二食堂,2019-04-06,16:00-17:00,0
第二食堂,2019-04-06,17:00-18:00,0
第二食堂,2019-04-06,18:00-19:00,0
第二食堂,2019-04-06,19:00-20:00,0
第二食堂,2019-04-06,20:00-21:00,0
第二食堂,2019-04-06,21:00-22:00,0
第二食堂,2019-04-06,22:00-23:00,0
第二食堂,2019-04-07,07:00-08:00,0
第二食堂,2019-04-07,08:00-09:00,0
第二食堂,2019-04-07,09:00-10:00,0
第二食堂,2019-04-07,10:00-11:00,0
第二食堂,2019-04-07,11:00-12:00,0
第二食堂,2019-04-07,12:00-13:00,0
第二食堂,2019-04-07,13:00-14:00,4
第二食堂,2019-04-07,14:00-15:00,1
第二食堂,2019-04-07,15:00-16:00,3
第二食堂,2019-04-07,16:00-17:00,42
第二食堂,2019-04-07,17:00-18:00,352
第二食堂,2019-04-07,18:00-19:00,313
第二食堂,2019-04-07,19:00-20:00,86
第二食堂,2019-04-07,20:00-21:00,56
第二食堂,2019-04-07,21:00-22:00,76
第二食堂,2019-04-07,22:00-23:00,18
第二食堂,2019-04-08,07:00-08:00,1424
第二食堂,2019-04-08,08:00-09:00,270
第二食堂,2019-04-08,09:00-10:00,452
第二食堂,2019-04-08,10:00-11:00,71
第二食堂,2019-04-08,11:00-12:00,1453
第二食堂,2019-04-08,12:00-13:00,668
第二食堂,2019-04-08,13:00-14:00,6
第二食堂,2019-04-08,14:00-15:00,0
第二食堂,2019-04-08,15:00-16:00,23
第二食堂,2019-04-08,16:00-17:00,247
第二食堂,2019-04-08,17:00-18:00,702
第二食堂,2019-04-08,18:00-19:00,737
第二食堂,2019-04-08,19:00-20:00,215
第二食堂,2019-04-08,20:00-21:00,71
第二食堂,2019-04-08,21:00-22:00,149
第二食堂,2019-04-08,22:00-23:00,60
第二食堂,2019-04-09,07:00-08:00,1684
第二食堂,2019-04-09,08:00-09:00,276
第二食堂,2019-04-09,09:00-10:00,327
第二食堂,2019-04-09,10:00-11:00,103
第二食堂,2019-04-09,11:00-12:00,1487
第二食堂,2019-04-09,12:00-13:00,563
第二食堂,2019-04-09,13:00-14:00,6
第二食堂,2019-04-09,14:00-15:00,14
第二食堂,2019-04-09,15:00-16:00,3
第二食堂,2019-04-09,16:00-17:00,413
第二食堂,2019-04-09,17:00-18:00,666
第二食堂,2019-04-09,18:00-19:00,663
第二食堂,2019-04-09,19:00-20:00,122
第二食堂,2019-04-09,20:00-21:00,81
第二食堂,2019-04-09,21:00-22:00,158
第二食堂,2019-04-09,22:00-23:00,105
第二食堂,2019-04-10,07:00-08:00,1548
第二食堂,2019-04-10,08:00-09:00,290
第二食堂,2019-04-10,09:00-10:00,508
第二食堂,2019-04-10,10:00-11:00,36
第二食堂,2019-04-10,11:00-12:00,1573
第二食堂,2019-04-10,12:00-13:00,671
第二食堂,2019-04-10,13:00-14:00,20
第二食堂,2019-04-10,14:00-15:00,2
第二食堂,2019-04-10,15:00-16:00,25
第二食堂,2019-04-10,16:00-17:00,288
第二食堂,2019-04-10,17:00-18:00,710
第二食堂,2019-04-10,18:00-19:00,641
第二食堂,2019-04-10,19:00-20:00,148
第二食堂,2019-04-10,20:00-21:00,107
第二食堂,2019-04-10,21:00-22:00,223
第二食堂,2019-04-10,22:00-23:00,102
第二食堂,2019-04-11,07:00-08:00,1792
第二食堂,2019-04-11,08:00-09:00,273
第二食堂,2019-04-11,09:00-10:00,416
第二食堂,2019-04-11,10:00-11:00,39
第二食堂,2019-04-11,11:00-12:00,1498
第二食堂,2019-04-11,12:00-13:00,552
第二食堂,2019-04-11,13:00-14:00,11
第二食堂,2019-04-11,14:00-15:00,8
第二食堂,2019-04-11,15:00-16:00,4
第二食堂,2019-04-11,16:00-17:00,104
第二食堂,2019-04-11,17:00-18:00,743
第二食堂,2019-04-11,18:00-19:00,400
第二食堂,2019-04-11,19:00-20:00,140
第二食堂,2019-04-11,20:00-21:00,120
第二食堂,2019-04-11,21:00-22:00,178
第二食堂,2019-04-11,22:00-23:00,84
第二食堂,2019-04-12,07:00-08:00,1475
第二食堂,2019-04-12,08:00-09:00,388
第二食堂,2019-04-12,09:00-10:00,385
第二食堂,2019-04-12,10:00-11:00,80
第二食堂,2019-04-12,11:00-12:00,1473
第二食堂,2019-04-12,12:00-13:00,641
第二食堂,2019-04-12,13:00-14:00,10
第二食堂,2019-04-12,14:00-15:00,0
第二食堂,2019-04-12,15:00-16:00,30
第二食堂,2019-04-12,16:00-17:00,211
第二食堂,2019-04-12,17:00-18:00,583
第二食堂,2019-04-12,18:00-19:00,457
第二食堂,2019-04-12,19:00-20:00,142
第二食堂,2019-04-12,20:00-21:00,121
第二食堂,2019-04-12,21:00-22:00,164
第二食堂,2019-04-12,22:00-23:00,81
第二食堂,2019-04-13,07:00-08:00,423
第二食堂,2019-04-13,08:00-09:00,395
第二食堂,2019-04-13,09:00-10:00,336
第二食堂,2019-04-13,10:00-11:00,135
第二食堂,2019-04-13,11:00-12:00,673
第二食堂,2019-04-13,12:00-13:00,417
第二食堂,2019-04-13,13:00-14:00,16
第二食堂,2019-04-13,14:00-15:00,11
第二食堂,2019-04-13,15:00-16:00,8
第二食堂,2019-04-13,16:00-17:00,49
第二食堂,2019-04-13,17:00-18:00,367
第二食堂,2019-04-13,18:00-19:00,347
第二食堂,2019-04-13,19:00-20:00,137
第二食堂,2019-04-13,20:00-21:00,101
第二食堂,2019-04-13,21:00-22:00,54
第二食堂,2019-04-13,22:00-23:00,35
第二食堂,2019-04-14,07:00-08:00,326
第二食堂,2019-04-14,08:00-09:00,300
第二食堂,2019-04-14,09:00-10:00,289
第二食堂,2019-04-14,10:00-11:00,105
第二食堂,2019-04-14,11:00-12:00,623
第二食堂,2019-04-14,12:00-13:00,410
第二食堂,2019-04-14,13:00-14:00,22
第二食堂,2019-04-14,14:00-15:00,3
第二食堂,2019-04-14,15:00-16:00,4
第二食堂,2019-04-14,16:00-17:00,22
第二食堂,2019-04-14,17:00-18:00,462
第二食堂,2019-04-14,18:00-19:00,372
第二食堂,2019-04-14,19:00-20:00,145
第二食堂,2019-04-14,20:00-21:00,96
第二食堂,2019-04-14,21:00-22:00,101
第二食堂,2019-04-14,22:00-23:00,34
第二食堂,2019-04-15,07:00-08:00,1456
第二食堂,2019-04-15,08:00-09:00,262
第二食堂,2019-04-15,09:00-10:00,413
第二食堂,2019-04-15,10:00-11:00,53
第二食堂,2019-04-15,11:00-12:00,1529
第二食堂,2019-04-15,12:00-13:00,606
第二食堂,2019-04-15,13:00-14:00,14
第二食堂,2019-04-15,14:00-15:00,0
第二食堂,2019-04-15,15:00-16:00,48
第二食堂,2019-04-15,16:00-17:00,228
第二食堂,2019-04-15,17:00-18:00,573
第二食堂,2019-04-15,18:00-19:00,757
第二食堂,2019-04-15,19:00-20:00,191
第二食堂,2019-04-15,20:00-21:00,88
第二食堂,2019-04-15,21:00-22:00,151
第二食堂,2019-04-15,22:00-23:00,81
第二食堂,2019-04-16,07:00-08:00,1523
第二食堂,2019-04-16,08:00-09:00,293
第二食堂,2019-04-16,09:00-10:00,376
第二食堂,2019-04-16,10:00-11:00,48
第二食堂,2019-04-16,11:00-12:00,1323
第二食堂,2019-04-16,12:00-13:00,509
第二食堂,2019-04-16,13:00-14:00,52
第二食堂,2019-04-16,14:00-15:00,20
第二食堂,2019-04-16,15:00-16:00,38
第二食堂,2019-04-16,16:00-17:00,199
第二食堂,2019-04-16,17:00-18:00,530
第二食堂,2019-04-16,18:00-19:00,612
第二食堂,2019-04-16,19:00-20:00,145
第二食堂,2019-04-16,20:00-21:00,56
第二食堂,2019-04-16,21:00-22:00,126
第二食堂,2019-04-16,22:00-23:00,38
第二食堂,2019-04-17,07:00-08:00,1279
第二食堂,2019-04-17,08:00-09:00,383
第二食堂,2019-04-17,09:00-10:00,466
第二食堂,2019-04-17,10:00-11:00,46
第二食堂,2019-04-17,11:00-12:00,1705
第二食堂,2019-04-17,12:00-13:00,656
第二食堂,2019-04-17,13:00-14:00,27
第二食堂,2019-04-17,14:00-15:00,0
第二食堂,2019-04-17,15:00-16:00,137
第二食堂,2019-04-17,16:00-17:00,192
第二食堂,2019-04-17,17:00-18:00,752
第二食堂,2019-04-17,18:00-19:00,670
第二食堂,2019-04-17,19:00-20:00,134
第二食堂,2019-04-17,20:00-21:00,67
第二食堂,2019-04-17,21:00-22:00,192
第二食堂,2019-04-17,22:00-23:00,64
第二食堂,2019-04-18,07:00-08:00,1736
第二食堂,2019-04-18,08:00-09:00,294
第二食堂,2019-04-18,09:00-10:00,428
第二食堂,2019-04-18,10:00-11:00,79
第二食堂,2019-04-18,11:00-12:00,1363
第二食堂,2019-04-18,12:00-13:00,407
第二食堂,2019-04-18,13:00-14:00,12
第二食堂,2019-04-18,14:00-15:00,3
第二食堂,2019-04-18,15:00-16:00,3
第二食堂,2019-04-18,16:00-17:00,93
第二食堂,2019-04-18,17:00-18:00,676
第二食堂,2019-04-18,18:00-19:00,422
第二食堂,2019-04-18,19:00-20:00,159
第二食堂,2019-04-18,20:00-21:00,98
第二食堂,2019-04-18,21:00-22:00,132
第二食堂,2019-04-18,22:00-23:00,114
第二食堂,2019-04-19,07:00-08:00,1431
第二食堂,2019-04-19,08:00-09:00,406
第二食堂,2019-04-19,09:00-10:00,365
第二食堂,2019-04-19,10:00-11:00,130
第二食堂,2019-04-19,11:00-12:00,1172
第二食堂,2019-04-19,12:00-13:00,588
第二食堂,2019-04-19,13:00-14:00,12
第二食堂,2019-04-19,14:00-15:00,0
第二食堂,2019-04-19,15:00-16:00,18
第二食堂,2019-04-19,16:00-17:00,191
第二食堂,2019-04-19,17:00-18:00,612
第二食堂,2019-04-19,18:00-19:00,375
第二食堂,2019-04-19,19:00-20:00,131
第二食堂,2019-04-19,20:00-21:00,70
第二食堂,2019-04-19,21:00-22:00,147
第二食堂,2019-04-19,22:00-23:00,63
第二食堂,2019-04-20,07:00-08:00,366
第二食堂,2019-04-20,08:00-09:00,472
第二食堂,2019-04-20,09:00-10:00,396
第二食堂,2019-04-20,10:00-11:00,139
第二食堂,2019-04-20,11:00-12:00,579
第二食堂,2019-04-20,12:00-13:00,369
第二食堂,2019-04-20,13:00-14:00,15
第二食堂,2019-04-20,14:00-15:00,10
第二食堂,2019-04-20,15:00-16:00,3
第二食堂,2019-04-20,16:00-17:00,32
第二食堂,2019-04-20,17:00-18:00,414
第二食堂,2019-04-20,18:00-19:00,322
第二食堂,2019-04-20,19:00-20:00,126
第二食堂,2019-04-20,20:00-21:00,81
第二食堂,2019-04-20,21:00-22:00,67
第二食堂,2019-04-20,22:00-23:00,38
第二食堂,2019-04-21,07:00-08:00,224
第二食堂,2019-04-21,08:00-09:00,308
第二食堂,2019-04-21,09:00-10:00,319
第二食堂,2019-04-21,10:00-11:00,107
第二食堂,2019-04-21,11:00-12:00,690
第二食堂,2019-04-21,12:00-13:00,341
第二食堂,2019-04-21,13:00-14:00,8
第二食堂,2019-04-21,14:00-15:00,8
第二食堂,2019-04-21,15:00-16:00,0
第二食堂,2019-04-21,16:00-17:00,33
第二食堂,2019-04-21,17:00-18:00,414
第二食堂,2019-04-21,18:00-19:00,299
第二食堂,2019-04-21,19:00-20:00,141
第二食堂,2019-04-21,20:00-21:00,97
第二食堂,2019-04-21,21:00-22:00,82
第二食堂,2019-04-21,22:00-23:00,53
第二食堂,2019-04-22,07:00-08:00,1503
第二食堂,2019-04-22,08:00-09:00,249
第二食堂,2019-04-22,09:00-10:00,467
第二食堂,2019-04-22,10:00-11:00,61
第二食堂,2019-04-22,11:00-12:00,1455
第二食堂,2019-04-22,12:00-13:00,619
第二食堂,2019-04-22,13:00-14:00,1
第二食堂,2019-04-22,14:00-15:00,0
第二食堂,2019-04-22,15:00-16:00,5
第二食堂,2019-04-22,16:00-17:00,318
第二食堂,2019-04-22,17:00-18:00,663
第二食堂,2019-04-22,18:00-19:00,719
第二食堂,2019-04-22,19:00-20:00,117
第二食堂,2019-04-22,20:00-21:00,90
第二食堂,2019-04-22,21:00-22:00,135
第二食堂,2019-04-22,22:00-23:00,85
第二食堂,2019-04-23,07:00-08:00,1754
第二食堂,2019-04-23,08:00-09:00,291
第二食堂,2019-04-23,09:00-10:00,360
第二食堂,2019-04-23,10:00-11:00,72
第二食堂,2019-04-23,11:00-12:00,1560
第二食堂,2019-04-23,12:00-13:00,423
第二食堂,2019-04-23,13:00-14:00,22
第二食堂,2019-04-23,14:00-15:00,16
第二食堂,2019-04-23,15:00-16:00,5
第二食堂,2019-04-23,16:00-17:00,313
第二食堂,2019-04-23,17:00-18:00,558
第二食堂,2019-04-23,18:00-19:00,575
第二食堂,2019-04-23,19:00-20:00,154
第二食堂,2019-04-23,20:00-21:00,81
第二食堂,2019-04-23,21:00-22:00,200
第二食堂,2019-04-23,22:00-23:00,53
第二食堂,2019-04-24,07:00-08:00,1514
第二食堂,2019-04-24,08:00-09:00,342
第二食堂,2019-04-24,09:00-10:00,448
第二食堂,2019-04-24,10:00-11:00,53
第二食堂,2019-04-24,11:00-12:00,1473
第二食堂,2019-04-24,12:00-13:00,527
第二食堂,2019-04-24,13:00-14:00,10
第二食堂,2019-04-24,14:00-15:00,0
第二食堂,2019-04-24,15:00-16:00,22
第二食堂,2019-04-24,16:00-17:00,270
第二食堂,2019-04-24,17:00-18:00,658
第二食堂,2019-04-24,18:00-19:00,485
第二食堂,2019-04-24,19:00-20:00,157
第二食堂,2019-04-24,20:00-21:00,91
第二食堂,2019-04-24,21:00-22:00,215
第二食堂,2019-04-24,22:00-23:00,88
第二食堂,2019-04-25,07:00-08:00,1515
第二食堂,2019-04-25,08:00-09:00,388
第二食堂,2019-04-25,09:00-10:00,399
第二食堂,2019-04-25,10:00-11:00,89
第二食堂,2019-04-25,11:00-12:00,1357
第二食堂,2019-04-25,12:00-13:00,469
第二食堂,2019-04-25,13:00-14:00,12
第二食堂,2019-04-25,14:00-15:00,6
第二食堂,2019-04-25,15:00-16:00,5
第二食堂,2019-04-25,16:00-17:00,101
第二食堂,2019-04-25,17:00-18:00,609
第二食堂,2019-04-25,18:00-19:00,552
第二食堂,2019-04-25,19:00-20:00,155
第二食堂,2019-04-25,20:00-21:00,98
第二食堂,2019-04-25,21:00-22:00,131
第二食堂,2019-04-25,22:00-23:00,55
第二食堂,2019-04-26,07:00-08:00,1346
第二食堂,2019-04-26,08:00-09:00,400
第二食堂,2019-04-26,09:00-10:00,404
第二食堂,2019-04-26,10:00-11:00,69
第二食堂,2019-04-26,11:00-12:00,1214
第二食堂,2019-04-26,12:00-13:00,564
第二食堂,2019-04-26,13:00-14:00,9
第二食堂,2019-04-26,14:00-15:00,0
第二食堂,2019-04-26,15:00-16:00,35
第二食堂,2019-04-26,16:00-17:00,190
第二食堂,2019-04-26,17:00-18:00,356
第二食堂,2019-04-26,18:00-19:00,441
第二食堂,2019-04-26,19:00-20:00,132
第二食堂,2019-04-26,20:00-21:00,98
第二食堂,2019-04-26,21:00-22:00,68
第二食堂,2019-04-26,22:00-23:00,125
第二食堂,2019-04-27,07:00-08:00,222
第二食堂,2019-04-27,08:00-09:00,300
第二食堂,2019-04-27,09:00-10:00,196
第二食堂,2019-04-27,10:00-11:00,109
第二食堂,2019-04-27,11:00-12:00,1080
第二食堂,2019-04-27,12:00-13:00,783
第二食堂,2019-04-27,13:00-14:00,34
第二食堂,2019-04-27,14:00-15:00,3
第二食堂,2019-04-27,15:00-16:00,7
第二食堂,2019-04-27,16:00-17:00,37
第二食堂,2019-04-27,17:00-18:00,542
第二食堂,2019-04-27,18:00-19:00,573
第二食堂,2019-04-27,19:00-20:00,194
第二食堂,2019-04-27,20:00-21:00,80
第二食堂,2019-04-27,21:00-22:00,41
第二食堂,2019-04-27,22:00-23:00,22
第二食堂,2019-04-28,07:00-08:00,0
第二食堂,2019-04-28,08:00-09:00,0
第二食堂,2019-04-28,09:00-10:00,0
第二食堂,2019-04-28,10:00-11:00,0
第二食堂,2019-04-28,11:00-12:00,0
第二食堂,2019-04-28,12:00-13:00,0
第二食堂,2019-04-28,13:00-14:00,0
第二食堂,2019-04-28,14:00-15:00,0
第二食堂,2019-04-28,15:00-16:00,0
第二食堂,2019-04-28,16:00-17:00,0
第二食堂,2019-04-28,17:00-18:00,0
第二食堂,2019-04-28,18:00-19:00,0
第二食堂,2019-04-28,19:00-20:00,0
第二食堂,2019-04-28,20:00-21:00,0
第二食堂,2019-04-28,21:00-22:00,0
第二食堂,2019-04-28,22:00-23:00,0
第二食堂,2019-04-29,07:00-08:00,340
第二食堂,2019-04-29,08:00-09:00,339
第二食堂,2019-04-29,09:00-10:00,227
第二食堂,2019-04-29,10:00-11:00,137
第二食堂,2019-04-29,11:00-12:00,707
第二食堂,2019-04-29,12:00-13:00,528
第二食堂,2019-04-29,13:00-14:00,12
第二食堂,2019-04-29,14:00-15:00,14
第二食堂,2019-04-29,15:00-16:00,8
第二食堂,2019-04-29,16:00-17:00,33
第二食堂,2019-04-29,17:00-18:00,418
第二食堂,2019-04-29,18:00-19:00,496
第二食堂,2019-04-29,19:00-20:00,154
第二食堂,2019-04-29,20:00-21:00,95
第二食堂,2019-04-29,21:00-22:00,76
第二食堂,2019-04-29,22:00-23:00,49
第二食堂,2019-04-30,07:00-08:00,296
第二食堂,2019-04-30,08:00-09:00,514
第二食堂,2019-04-30,09:00-10:00,249
第二食堂,2019-04-30,10:00-11:00,78
第二食堂,2019-04-30,11:00-12:00,888
第二食堂,2019-04-30,12:00-13:00,437
第二食堂,2019-04-30,13:00-14:00,12
第二食堂,2019-04-30,14:00-15:00,19
第二食堂,2019-04-30,15:00-16:00,3
第二食堂,2019-04-30,16:00-17:00,37
第二食堂,2019-04-30,17:00-18:00,612
第二食堂,2019-04-30,18:00-19:00,514
第二食堂,2019-04-30,19:00-20:00,158
第二食堂,2019-04-30,20:00-21:00,89
第二食堂,2019-04-30,21:00-22:00,111
第二食堂,2019-04-30,22:00-23:00,37
